"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	"N"	"O"	"P"	"Q"	"R"	"S"	"T"
"AFFX-BioB-5_st"	5.84495829451112	3.87014920940646	6.17441305274812	6.94518347147464	4.29436356962276	7.95248771784527	3.47326768632374	4.43591003486883	4.21157520158488	4.04872816431813	5.6039257216648	3.94384857175183	3.80534440309436	7.91294462225152	4.34209533087855	5.48691289192246	4.58974381059789	4.6183186660891	5.11561699706021	6.97894900129924
"AFFX-BioB-M_st"	5.14797252036475	4.45862111731055	4.76367709021016	4.18759407304653	6.29225306908215	4.98959942155211	5.33929217347721	5.07135500905354	4.90971053748218	6.53067814646742	4.87334758427306	5.66367422095608	5.82679104356822	5.22208557977578	6.18640980000368	5.83208907099217	4.78136224343772	4.67131898214095	5.23406398741127	5.13515573791628
"AFFX-BioB-3_st"	6.91510716493619	6.51592550448213	6.2481010334937	6.86715325304439	6.40970049466895	7.31383406659652	6.20394631906597	6.16832393179491	6.53306133576912	6.43912280107973	7.25904301187284	6.26547981300183	6.28102802699601	6.71159579712334	6.41238990368085	6.81556961314343	6.42536673340766	6.52247929665778	7.04217843693214	7.0713280995796
"AFFX-BioC-5_st"	7.31480223664553	5.98820885241642	6.03485271172595	6.14219015467573	6.76178842952782	7.35912191128409	5.41632112467554	5.79429319189789	6.09238334062037	6.70701655544189	7.68361689214411	6.26904358964382	5.70095586605762	6.80783479397821	5.72513369734133	7.13903708827058	6.04303073793227	6.25070358010092	7.57848573817148	7.30809850996499
"AFFX-BioC-3_st"	4.90907865870761	4.49485665394882	4.38552996085707	3.74398583865096	5.4456276993124	4.49143192956059	3.91983479275673	5.80463367299302	5.77587955595747	5.51486337884925	5.07016687635147	6.19913757255293	4.78258057651027	4.82301248260013	4.06975010789521	4.82488655701122	5.26734380493829	4.77306843138961	4.96949833562463	4.45257484554687
"AFFX-BioDn-5_st"	8.2652083722457	6.69388848137552	8.62559622683439	8.4754186077895	9.72109446177077	8.97077961278817	6.2776157745191	10.0507124832988	7.77414688278145	9.16223647439276	6.17861146731503	8.8352062334671	6.88009676843081	9.52259270721709	8.31988684648295	8.23750590547747	10.3754545943569	7.2552793689497	7.0426301623673	6.89793804545079
"AFFX-BioDn-3_st"	7.34315242117673	7.32413393263219	7.15049126720351	6.45701030617716	6.50580571984365	6.30209092980839	5.49162989944138	5.49770007645835	6.75472181010682	7.53702168319407	8.03291972921383	7.60115462481602	6.47010035403065	6.08835075100316	7.23138372347969	7.64030537852609	7.14185058561225	5.86797854322663	8.18378944803164	8.32383938008891
"AFFX-CreX-5_st"	6.84188665946743	6.08859791529368	7.46946114412979	6.11326392739559	7.18525100699639	7.42417850415099	5.92313475230472	7.34690588333775	6.78485083285094	6.64772687467707	6.98186288126837	7.10207808211623	6.34222509202321	6.95373461954448	6.26043511052087	6.10212948628464	6.61662938377414	7.27239965190596	6.89263553223744	6.72180774747885
"AFFX-CreX-3_st"	9.38196038607261	8.95520387898756	9.05914754510858	8.53979712595825	10.0092942701158	9.31314982372444	8.91367783496296	9.22086393768283	8.51454064394685	9.38549020660195	9.31461884679303	9.59502119417663	8.55679502434136	9.421930720781	8.99171611239384	9.07269516686165	9.1096824781999	8.84309219032221	9.0820601235778	8.24542906662987
"AFFX-hum_alu_at"	6.66719546745777	6.26380049373366	6.50746053305004	5.75608868486863	6.35033961162794	6.01549610753209	5.40215905339755	7.55070295635427	6.15431209872703	6.32831674207518	6.71824900897609	6.36778458875465	5.75422060656355	6.24932096245627	5.19376231397133	5.96151886333695	5.42921919544336	6.54754261630107	6.34225036036097	6.14051543849373
"AFFX-DapX-5_at"	3.77371584532361	3.10066028972917	3.20781380998302	3.56498381942969	3.94696117076338	3.01701855004835	3.74120943560656	3.90394511434762	4.53967558568544	3.10674153080621	3.90259669398267	4.66209976304082	4.20905818039452	3.96145832777868	3.23323281368695	3.72895691514623	3.37496491060944	3.69649092509464	3.84169107571697	3.85603134833976
"AFFX-DapX-M_at"	4.72006528458395	4.47152368259708	4.1121992637398	3.20151644651234	5.57656052208376	3.0425508780059	5.06497326527321	3.14332087105126	3.17688160431444	5.45739955380397	6.7060512997279	5.24844913500709	5.21966217073805	3.06964952078307	4.60298653255598	3.82415231933309	6.61803814417992	6.57180134179826	5.00557184949741	3.56247123304059
"AFFX-DapX-3_at"	9.78714823582742	8.61137595018257	7.78431033306796	8.63192890693416	8.71775014623024	8.47372789539114	9.29220218573822	10.0485952445236	9.93410153307277	8.71833235627813	9.23889780323703	10.1479885156821	10.4431000708077	7.6621166790693	8.70185548051248	8.18978447451869	7.49571655706968	8.3856286223648	8.50976740770764	7.18068121900682
"AFFX-LysX-5_at"	7.09791877660113	8.03250321872461	7.46597521010911	6.85159483972534	7.31883577062984	6.75165305500332	7.74883604785702	8.43202677667762	6.35249260510899	7.80790843658302	7.71823441510428	7.98169235223335	7.09845342608318	7.16120684750591	7.50417952340219	7.91911323443746	8.05720437160472	7.56772420095155	7.90224253452256	6.80527941707165
"AFFX-LysX-M_at"	9.8120152902878	10.003140661528	9.16465459942549	7.47448290179733	9.87626960522135	9.03256493980559	10.1146880688279	8.91709735906242	7.82329098978581	10.3913080209418	9.44278047490418	10.4490125867112	9.7069989787971	9.62144018386887	10.6182202690103	9.41408657372138	9.43100277311762	10.5767640007927	10.1093345612822	9.31620856450398
"AFFX-LysX-3_at"	6.00552581257401	6.13131348363333	5.88331171960771	5.62280825879044	6.52776159563991	7.31044840895224	5.97959484914138	6.13320059037524	6.43604622381631	6.16883253300381	7.41625788101519	5.34296410821374	7.20794623539377	7.02470072611757	5.77267585509702	7.10521739484191	6.37889770998634	5.99183358268839	8.94336259195958	6.55240878535286
"AFFX-PheX-5_at"	6.20146415214371	6.80593943848116	6.39160534626144	6.40250528622157	6.6434730123376	6.29616488638603	7.05042233855267	6.67306664030652	6.14676706212344	6.96979511171339	6.0424644935067	6.17910738512037	6.28414216240924	5.97722473982569	7.17665889061723	6.81105458328622	6.17222434457011	6.09229641642962	6.41243518120092	6.1720817925084
"AFFX-PheX-M_at"	7.49801684121293	8.6911786043636	6.8036378348312	8.03169634603859	7.2205915941027	7.9429087223128	8.76746412836068	8.27971734863178	8.44344138577027	7.23854729571087	7.18360793576088	7.95067717044502	6.51546148685097	7.15563162344926	8.95953236895091	7.10863982895435	6.45480977901377	6.83701093914568	7.25905823614467	7.1194912275004
"AFFX-PheX-3_at"	9.05981281052285	6.82083948097646	8.52925622345101	7.79378148433358	9.21808550149097	8.27298575581399	6.62634423738602	7.17805701098351	6.97529345330762	8.50989838810272	8.85210909861358	7.404534575689	7.64799833407938	7.33666120625455	7.82785043094769	7.43469142508095	8.46058559393569	7.47956961154503	7.84061826211501	7.87371099427685
"AFFX-ThrX-5_at"	5.34484827886674	5.89633637226116	10.929401530191	6.74787118303773	8.82957243524677	6.46382096877462	6.34616902525209	6.08755242163981	5.42049993471493	7.06709279927442	5.38663834988162	5.38331695255453	5.43569891492094	5.2816484611964	6.20044498678662	5.60297420875702	5.58513224748259	5.14709406192097	5.88830656931026	5.42373789523436
"AFFX-ThrX-M_at"	7.88296005755909	9.28784622329384	10.4348313117548	8.00065760964385	10.1523042716638	8.48002490110109	7.83579240219179	8.32942363662228	8.32592289374041	9.84672862635165	8.8546854912903	9.76224671806019	8.26912939504402	8.08294289184159	8.57189622542964	10.6794459483009	9.02793767629903	8.25993760264203	8.8075414262935	8.34567427012853
"AFFX-ThrX-3_at"	7.74810092542516	7.86844561671336	6.40398129463842	7.60729643824082	6.28965998255147	7.298933658371	8.01491894321189	6.95813472862639	7.56613427834461	7.55627898320715	7.61524326395622	7.86736908783521	6.99949040171349	7.17317016532504	7.01466379854245	7.95363540700688	8.58330058404015	6.25209848689967	6.88147823530682	6.5824294946861
"AFFX-TrpnX-5_at"	6.53769515669082	10.1135138946626	7.48436837642469	7.22373858522208	8.85719534243845	8.74339737557216	7.64241271868846	8.95038371767543	7.33788739196138	7.04672494169552	6.58468329875074	6.42623335703287	5.8971021820215	6.42567590524646	7.66399368790623	7.40909421021349	6.49777308445759	7.0859253375472	7.14759116450837	7.44810195413104
"AFFX-TrpnX-M_at"	5.16292413434459	5.96675239432719	5.9879859396114	5.61555287909994	5.20191294079033	7.26845519011182	5.31070621637715	5.57111938905487	5.65603972184068	6.10988051329261	5.4534253104878	5.30252320421816	5.40169473869197	6.41211182741541	5.78220824322937	6.62007427326997	5.47570581921856	5.49280597898713	5.62696405769103	5.48091934887995
"AFFX-TrpnX-3_at"	6.46444244204033	3.72004784873749	4.97301065244334	4.38585829979352	8.05510526348353	4.08205283122348	5.13607314550582	3.72778197343654	4.24223615341356	7.05381931315824	4.16359464389337	4.38401140051573	4.08354165120881	5.97613478098434	6.91660378187163	4.73743428388198	7.64443063503619	4.23856238098299	7.45765792531965	5.60244012584899
"AFFX-HUMISGF3A/M97935_5_at"	4.42796914551376	5.48204485280429	4.80420117149085	3.88934414324815	5.0017937966605	4.25704956349861	3.86746846942572	3.7015155372367	4.79448686226686	4.34829091015525	4.41357841428525	3.98857406749123	4.33483481721242	3.97374473680849	4.31906966216257	4.28653706325036	5.94987269146334	4.48428385176646	4.87056762044039	5.10479498974773
"AFFX-HUMISGF3A/M97935_MA_at"	6.86501283573203	7.18424302487488	7.15815679202836	7.20169233378619	6.82712001699923	6.55262047147747	6.87362784059311	6.5249017773237	6.3980996197257	7.59548265337045	6.72604769826236	6.59614074438386	7.09347288517649	6.98163828295301	7.62880990567877	8.00915003941089	7.87550580981366	7.17979717526564	7.04034601510668	6.60844298196667
"AFFX-HUMISGF3A/M97935_MB_at"	5.81351982528902	5.48770309605572	5.48319069448973	8.11138165194722	6.99892293430628	6.89732294264932	6.06185157727196	5.42046114473751	6.18852068763162	6.87176546433007	5.91607453923499	6.08254781202375	5.04605670815446	5.42059447371949	6.7562063458474	6.42703845408774	5.66397341014593	5.55659523306771	6.26983969873287	5.61537463912366
"AFFX-HUMISGF3A/M97935_3_at"	5.8116059289016	5.9832753801368	5.84294924658955	6.03323144956801	6.64792555723525	6.47498808386172	6.57899430207851	5.8514402862086	5.32843856490569	6.10817698351561	5.9400396105289	5.74485328176643	5.91771782308286	6.21932224769292	6.85498562365807	6.15785368033058	6.05432121069857	5.70119738719308	5.56139961318063	5.77596665519394
"AFFX-HUMRGE/M10098_5_at"	4.86820071024979	6.12234024827132	4.78116085521367	6.95629015172808	4.70814269140225	5.57789668897818	5.41847532208806	6.44212065711223	6.1681317941283	5.38958236962074	4.89275226105988	4.74373096545585	4.8257667390589	6.12261647900908	4.34239361206527	4.44855658094451	4.36917246288063	5.14017748452697	5.43794099984995	4.99599879206985
"AFFX-HUMRGE/M10098_M_at"	6.87523951358697	6.31513156998548	6.73044579516314	9.33849054628464	7.28268370943251	8.90768845921054	6.78125127444954	7.95381200454186	8.69763027391484	7.82672188992596	7.42083423049001	5.94258799616014	7.59515887508712	7.95144508456481	5.80226490448854	5.64947679987353	5.30341444176593	5.80854283363383	7.40005582562358	8.36696433866452
"AFFX-HUMRGE/M10098_3_at"	7.67623585684975	8.44495322360218	8.34756042992219	8.27582337241722	7.50472725359538	7.42553212928474	8.78029912017118	7.54475880145197	7.35124379468771	7.71740328504174	7.64800242451581	8.2552234865701	7.84101801953562	7.57471343641368	9.16032416958433	8.04977837483798	8.11205653298349	7.89356053713897	7.55920537152411	7.87864691879199
"AFFX-HUMGAPDH/M33197_5_at"	7.15864657568228	7.10533713880968	8.25157262425938	7.95657096049899	7.64633564477827	7.19925592415384	6.54976389906853	9.6936735855393	6.78086969145064	7.34561828073588	7.19382409270685	7.17464120791563	6.73921144148522	8.11253581138953	7.35738053515649	7.89303856558274	8.48852493707621	7.03670413541608	7.22391092260748	7.43970013181717
"AFFX-HUMGAPDH/M33197_M_at"	8.65417210346284	8.44370562459956	8.52182098060327	7.85458457663256	8.46654428550435	7.57123999202369	7.63869889069502	8.16802821035802	8.01140527422767	8.7959783313988	8.93292179371258	8.56404028833346	9.23869940703589	7.31268977961333	8.84886185201266	9.06000353275907	8.56799187080997	8.65364279340559	8.55627506020297	8.1976363109415
"AFFX-HUMGAPDH/M33197_3_at"	6.08112316682426	7.00084229825462	5.75108974687186	5.71219384295654	5.62594650115458	6.15548137684707	5.52971551858944	5.43450330213743	7.49779017505371	6.20980087455263	7.49738136013893	6.87036755651877	6.16149269980816	6.55279101434205	6.34545398716022	6.2123292418787	6.7101094989598	7.18088170475747	6.52409597771116	6.66598487583513
"AFFX-HSAC07/X00351_5_at"	8.09888847901017	7.05751024895467	8.01320478110935	7.29358213096749	8.66136732993538	7.92490262408138	7.1356611156462	8.40670706036331	7.82536560117327	8.70518285981478	8.38505668534899	8.72013255900012	7.77044756571287	7.4483422122316	7.36893964580983	7.76629091531103	7.62978146494329	7.83662043490752	8.34397028714687	8.09173240909717
"AFFX-HSAC07/X00351_M_at"	6.78168147563341	6.99020418673387	6.17116176403986	6.42345974035391	6.52994123005666	8.67646871575838	6.65724459175928	8.49201300353243	6.65157682022631	7.22382931656784	7.48520094286202	6.67814052251774	5.10334930462164	7.24154099899023	5.18541672023204	5.44813543461827	5.74141010561184	5.63235055680987	6.40796312949584	6.34847157394228
"AFFX-HSAC07/X00351_3_at"	6.1175435704912	5.49483409257202	6.58864754298322	8.03974764902341	6.52378188456306	6.00899469307656	6.65000191362505	8.21307017545394	6.42709461400298	5.99537386501023	7.1090618029844	5.89509904878759	5.79801350671137	6.73409457208237	5.87824542537464	5.78832426937979	5.85970289395499	5.17527893389441	5.31778574415101	6.09535273831762
"AFFX-HUMTFRR/M11507_5_at"	4.96506199975162	5.24169293034009	4.45196334794614	5.7638213305231	5.22694860091797	5.05185343595943	5.60726690768954	5.79570358919648	5.26737123215996	4.5253272814411	4.66848156978027	5.46391717028495	5.37306949080457	4.96744623174644	5.39062897871664	4.87947100783992	4.6747729388547	5.07399534430473	4.78427638997866	5.8039900517672
"AFFX-HUMTFRR/M11507_M_at"	9.60263181709295	7.36128038143447	8.21405056481169	7.75268721313927	10.0273807289315	10.0762057771806	7.02309185962294	6.87116182201668	9.04090311557158	7.56057477682648	9.48009164507356	7.91305909292065	9.18969970594357	8.34488962411936	7.90893412411008	5.88212676487611	8.36385756245767	5.89410102682296	8.8128718298479	8.87877340911956
"AFFX-HUMTFRR/M11507_3_at"	9.85771919416332	9.50954283933071	9.22714611823324	10.1375047585753	9.6504621757567	9.77151374710928	10.1918266498004	10.1984234121694	9.72169258895905	9.45743452191613	9.37803859587878	9.21523724035995	9.94506907014459	9.56528011705493	9.14289018847207	9.11849036967364	8.5156791322236	9.50520217804903	9.36081190583302	9.45153104691782
"AFFX-M27830_5_at"	5.746688153076	6.17756888676187	5.5982877980875	6.27126474724848	6.56377053255193	6.54845014153628	6.54265315351932	6.1260219595326	5.4312844900692	6.140267700741	6.05103561240081	5.25590427609513	5.81972809993175	6.23726650324465	6.95066328913223	6.11198731635081	5.78740148402567	5.24587148243443	5.82797894951111	5.66320176706107
"AFFX-M27830_M_at"	8.02330563158932	8.55146521388488	7.64632855459876	7.65417100227094	7.81254149791215	7.32247702247679	8.58417675826212	7.74457915218674	8.03936011518642	7.7705883411506	7.66460195738599	8.4319386069339	7.97692303888602	7.58124657603658	8.68809202071055	7.75421513013765	7.8113567806203	7.67018875963254	7.72818926016023	7.68862231364837
"AFFX-M27830_3_at"	7.46496837472414	8.35733904551731	7.51838601242278	8.14182875150071	7.95553056185139	7.82912412684341	8.63840361138822	8.86939938140197	7.13217264029312	7.99506343447715	7.25532447739608	7.86022956149968	6.83126977275848	8.57884859520234	8.33008053824118	7.83000375605005	6.99461703696463	7.21753220996349	7.40866536923446	7.18464874645129
"AFFX-HSAC07/X00351_3_st"	9.96121104799099	10.0168445117523	11.1123044525871	11.3747680464719	9.79533076068651	11.4010874314839	10.7412947106922	10.5981591198178	9.67623649760696	9.91327400962574	9.65829119880835	9.58743457442477	9.50326649178698	9.16411625805842	10.5884290084268	9.11287218569587	7.72248712931973	8.57420951592101	9.36974417674027	8.76791423496965
"AFFX-HUMGAPDH/M33197_5_st"	5.0788507573088	6.27800406383737	5.32046047787985	6.30093076852008	5.49477645480584	6.06872766654618	6.54321784710892	5.0202223170586	5.60183079931488	5.16741742082555	5.39509917457402	4.54648930164656	5.41362315714774	5.04172725824725	6.80105376330685	4.85120978245637	4.51931374400943	4.93103835129175	4.85089721456019	4.83688929875004
"AFFX-HUMGAPDH/M33197_M_st"	7.36315588359882	6.72334883355801	7.14204467390371	6.56938959437672	6.94651176426813	6.8250290698025	6.79643420831447	6.7494039047495	7.25078689962412	7.52066609828636	7.5530231787538	8.15321400229754	7.37194921376929	6.72017252790905	7.21970075611723	7.85793437556826	7.61971985714235	7.62922325307031	7.83401765755326	7.11624166969101
"AFFX-HUMGAPDH/M33197_3_st"	10.7105492635597	9.51013724257204	11.0273870576056	10.4819887593314	11.164020958175	10.9134236432617	8.69639052369969	11.7869578285457	10.3466207858144	10.5080644715317	10.8475698705453	9.23909304458014	8.96932241495384	10.436023623955	10.167899078971	10.4362328337208	10.4982238988493	10.0666898792219	10.3489673730933	10.976535681233
"AFFX-HSAC07/X00351_5_st"	4.31805677177119	3.59852895992999	3.66247867724268	3.78085709928931	5.81643352675416	3.67663944441808	5.22552769114465	5.15584724016285	3.5583775489185	5.20591713537919	4.2167348398599	4.67953381666202	5.2156300568066	4.59093499124786	6.10821869994983	5.18173273673642	3.78843992624939	3.97416393257879	4.24759308467953	4.26696271530292
"AFFX-HSAC07/X00351_M_st"	8.8253928098003	9.29218108417549	9.76050739920446	9.94139184089851	8.99121585056552	10.0090727815903	9.99277159428516	9.39705056415597	7.75752125525963	8.96076352484604	9.10658099952792	7.6428780285947	9.22771659200084	8.45796834771686	9.6401848472209	8.84381874896167	7.86238311165772	7.90364551729247	8.45663237924116	8.7393027171636
"AFFX-YEL002c/WBP1_at"	9.99254312315593	9.30671186695771	10.6562957253365	9.94334029132936	9.98396828679931	10.1003548781399	9.78287722771895	10.1030119292738	9.12499823798058	9.99262056324658	9.76766694753437	8.84634833694462	9.99836361599637	9.5259121658369	10.0243643073773	9.89385552815272	9.16838679392199	9.18843606239517	9.59184374751299	9.93770698944243
"AFFX-YEL018w/_at"	5.19182780881693	9.23729282028008	5.35612583945777	4.23722543270985	4.99651270296311	4.07615214245233	7.58278037221203	4.64710021488152	3.97947453430885	4.21433899153706	4.19413202474004	3.81188599053979	3.63697641103632	3.9954297045287	4.09713159572328	6.11028786426265	4.28114644736133	7.90424164285199	4.39474698074662	4.10947617624078
"AFFX-YEL024w/RIP1_at"	7.95985614022771	9.2497593964982	7.26859631263092	7.63502188886778	8.64640256276478	7.93546581715305	9.11125015816901	8.86055895672617	6.84563115537764	8.57158289776352	7.14848308420943	8.06883545889837	7.0420280435532	7.27691445168417	9.6193681854213	8.14317147657329	7.13452652131063	7.50454595313296	7.92836870478908	7.98478762870918
"AFFX-YEL021w/URA3_at"	7.19357452375335	7.46460585211234	7.44850005127393	7.48011944239852	7.28040092429421	8.78378364272892	7.91149881654447	8.20562907769573	8.25950166224621	6.81454222807137	6.70675732170681	7.1901730350956	7.38472450200086	7.72827549473379	7.52139426720932	7.47269951535983	6.51460833847376	7.56426717482268	8.03096595003422	7.36329977719565
"31307_at"	6.88858572357038	7.06370178175984	6.30228088187422	6.63476060409326	6.93851156951853	8.33776599933612	6.74174197347337	6.76470715097401	6.99902539918307	6.42576272281323	7.05379452156583	7.16666087651578	7.26773528029495	6.74701908937717	7.17397880537495	6.35172178550359	5.91313331195861	5.83805585635292	6.99506055206986	6.46147555162316
"31308_at"	6.34461283347155	4.41993312120326	5.69577030891795	5.15750845769148	5.73658041268853	5.98209055414954	4.77985811501556	6.40851173127395	6.133036216865	5.73919308004077	6.13877543709355	6.5650780056635	6.40136618038007	5.67107431154705	5.06259385644124	5.89421258414244	6.09341441180377	5.80524856459958	6.08907907640351	6.81314958051944
"31309_r_at"	8.75208784846796	7.98403462496581	8.3867715116319	9.87244907553637	9.27720796829381	8.12775912386616	9.62591697240678	9.30523123032032	8.84072102840191	8.38822328181139	8.18327125772188	8.62618719902326	8.75683462180404	8.95240507482409	9.60468892099413	7.99631287099895	7.32588722619626	7.34143887313319	8.77453275839193	8.34706364767106
"31310_at"	6.17529660083231	6.43486932274662	6.20554294585485	7.51140871941294	7.21574210209441	5.55666797023819	6.32513339712765	6.16568199907868	5.33890502074785	6.78438961638931	5.99874565302702	5.77765406379282	5.25204831345106	5.72342626503857	5.9936022489941	6.1797851825062	5.0186170894059	6.62292071754089	6.36247331301909	5.82413400187555
"31311_at"	7.11329903268936	5.76214810193732	7.21457736536448	5.93713881695859	8.26486233616358	5.30156775175943	7.3644003580348	5.53245056152805	4.97604669377361	8.06788168509365	6.56129468300125	4.44711859209446	5.36128543376586	7.99729032121322	6.91145573877725	8.6137442781477	7.9000778282029	8.60559851517625	6.8504315660424	8.98690328982943
"31312_at"	4.47800974256249	4.12202809964556	4.4844984542078	4.44812912245754	4.88149625341303	4.73045574828121	4.13310560944188	4.4484723565436	4.98792448714925	4.58417984745	4.46386272148676	4.81039607628147	4.68625393413137	4.26097040568346	4.38925013315275	4.31027150292955	4.93700056636182	4.06580293337485	5.00788474992903	4.07767615615455
"31313_at"	4.83770241140462	6.2337900002387	6.13031470198905	4.54678001682027	5.69339656110601	4.84410876304251	5.73594745719031	7.02903965064475	4.71555222671056	6.1300934329071	5.2394511341629	7.06896751782529	4.54509655123556	4.32421682919633	6.91836377492722	6.63468673982497	5.37394417192778	6.61488287275232	5.85826870220572	4.96672838871725
"31314_at"	4.29869603488796	4.31644810440401	4.76849443114057	5.46930943023326	5.7186699479495	5.72211879207536	4.27768522921909	4.09195288818155	5.6267852368344	4.21777448257743	6.48767604444791	4.58043979075569	5.85666802580702	5.55221770843516	4.40065464112111	5.47169286181621	5.0793118746757	4.27143326065429	6.84081373317818	3.78371160542327
"31315_at"	7.10637748780103	6.40008119501256	7.02509820611145	6.46944018255394	7.22613386560079	7.36019117181179	6.27971000625497	6.73263900744611	7.09061877850819	7.2149647840186	7.16651389619187	7.5723907849782	6.70524876292539	6.52025946019597	7.10569543147327	7.01881410048348	7.39389180760908	6.58385926115294	7.17352548170029	7.25349453395039
"31316_at"	10.3401430178311	10.869972344555	10.0727076204923	11.3975538540692	10.4123648430185	10.8517732462005	10.3871860999078	10.1306045075099	9.99089775240164	9.48160680034919	10.672496618953	10.1134613592512	10.4352692053263	10.4789638373386	10.0122143039002	9.35729260517783	9.75820871301601	9.45308073888301	9.93504314408333	10.3489232048789
"31317_r_at"	7.14706740128064	5.76332727722398	7.2984034277812	6.54214802476208	8.88431283578988	8.81732227787797	5.7331313651638	7.27090496172238	7.16028350280579	8.84038600693657	6.31023247189856	5.82981500999494	6.06222434420445	5.83877311432408	6.11934108177827	6.30017112636411	6.74296393886882	5.94741608354682	7.6013530440962	8.09613042719378
